account_id,customer_id,branch_id,account_type,account_open_date,initial_balance,account_status,customer_name,age,gender,annual_income,customer_city,branch_name,branch_city,state,branch_type,opening_date
ACC01955,CUST02477,BR042,Salary,2024-01-13,40745.73,Active,Yolanda Murillo,64.0,Female,51148.36,Lake Sierra,North John Branch,West Juan,New Mexico,Rural,2022-03-27
ACC00915,CUST00015,BR030,Salary,2025-09-21,38267.02,Dormant,Brian Ramirez,57.0,Female,64583.42,Romerochester,East Courtneychester Branch,South Dianeshire,West Virginia,Semi-Urban,2025-07-13
ACC08621,CUST09683,BR007,Current,2025-03-25,7903.01,Closed,Mr. Thomas Adams,52.0,Male,49245.94,Jessicaberg,Lake Roberto Branch,Leeville,Arizona,Semi-Urban,2022-08-29
ACC11445,CUST07586,BR015,Savings,2025-01-10,66081.1,Active,Peter Gonzalez,71.0,Male,56919.72,Freemanchester,Port Jesseville Branch,North Deniseside,Texas,Urban,2021-03-15
ACC05613,CUST05700,BR015,Current,2024-04-24,32649.39,Closed,Charles Robinson,63.0,Female,44225.26,North Michaelhaven,Port Jesseville Branch,North Deniseside,Texas,Urban,2021-03-15
ACC00770,CUST05528,BR044,Savings,2026-08-16,22487.68,Closed,Stacey Rodriguez,62.0,Male,58972.3,Port Brandon,East Donna Branch,Williamview,Illinois,Urban,2021-09-19
ACC00526,CUST09364,BR009,Current,2026-07-06,65713.01,Closed,Jeanette Nielsen,51.0,Male,33892.05,Amyberg,North Noahstad Branch,Shieldston,MI,Rural,2023-06-27
ACC10709,CUST00000,BR015,Savings,2024-12-10,79519.02,Closed,Allison Hill,56.0,Female,40516.16,New Emmaville,Port Jesseville Branch,North Deniseside,Texas,Urban,2021-03-15
ACC09358,CUST09892,BR001,Salary,2024-03-25,84367.27,Active,Marissa Choi,48.0,Male,52095.46,Georgetown,East Jill Branch,New Jeffrey,Mississippi,Urban,2019-12-22
ACC05938,CUST01232,BR005,Salary,2025-01-10,61836.74,Dormant,Brandon Brown,26.0,Female,61013.3,South Crystalton,Robinsonshire Branch,New David,Nevada,Urban,2017-11-13
ACC07577,CUST08928,BR001,Current,2026-05-15,34833.85,Dormant,Sandra Haney,38.0,Male,41721.21,Port Chadmouth,East Jill Branch,New Jeffrey,Mississippi,Urban,2019-12-22
ACC03057,CUST06717,BR003,Savings,2023-12-05,52171.41,Dormant,Jason Smith,43.0,Male,57540.78,Hesterborough,East Jessetown Branch,North Micheleland,Oklahoma,Rural,2022-04-09
ACC07055,CUST03986,BR036,Salary,2025-02-04,89077.2,Dormant,Katie Alvarez,40.0,Female,33856.19,,Teresaburgh Branch,North Amandahaven,LO,Rural,2022-01-10
ACC08233,CUST01233,BR047,Salary,2026-09-07,17361.05,Active,Kristin Andrews,34.0,Male,63940.23,South Rogerbury,Lake Larry Branch,Evanmouth,MA,Urban,2023-11-03
ACC01509,CUST04518,BR026,Current,2026-03-25,13270.78,Dormant,Carol Gay,33.0,Female,39306.05,Port Sonia,West Donald Branch,North Susan,Idaho,Urban,2021-01-07
ACC10492,CUST07900,BR046,Savings,2026-05-26,48904.97,Dormant,Danny Lee,52.0,Female,40861.72,Lake Erin,Brandtside Branch,North Matthewberg,Minnesota,Semi-Urban,2019-12-14
ACC07508,CUST00896,BR047,Savings,2025-03-21,22266.36,Active,Aimee Gonzalez,50.0,Male,65712.81,West Jenniferhaven,Lake Larry Branch,Evanmouth,MA,Urban,2023-11-03
ACC06047,CUST00369,BR013,Salary,2024-10-13,41895.68,Dormant,Sabrina Austin,37.0,Female,56504.21,Gloverland,Lake Chad Branch,Stevenland,UT,Rural,2021-02-17
ACC05225,CUST01740,BR004,Current,2026-01-10,29568.31,Active,John Vaughn,61.0,Male,44721.55,South Catherine,Lake Debra Branch,West Elizabeth,Georgia,Urban,2021-06-05
ACC10697,CUST06241,BR005,Savings,2024-08-13,37906.6,Closed,Cynthia Freeman,32.0,Female,46857.99,New Christopherhaven,Robinsonshire Branch,New David,Nevada,Urban,2017-11-13
ACC04928,CUST05778,BR027,Current,2026-02-02,90292.78,Dormant,Cindy Young,24.0,Male,74243.99,South Diane,Juliechester Branch,Port Jacobland,Nebraska,Rural,2017-06-10
ACC09281,CUST05070,BR027,Savings,2026-03-29,59476.19,Dormant,Stephen Roth,69.0,Male,63704.34,Kingville,Juliechester Branch,Port Jacobland,Nebraska,Rural,2017-06-10
ACC06762,CUST06736,BR036,Savings,2024-07-13,16688.92,Closed,Yolanda Martin,72.0,Male,52503.26,Kelseystad,Teresaburgh Branch,North Amandahaven,LO,Rural,2022-01-10
ACC02919,CUST02665,BR004,Current,2026-04-04,98893.47,Active,Jane May,63.0,Female,36286.44,West Natasha,Lake Debra Branch,West Elizabeth,Georgia,Urban,2021-06-05
ACC05162,CUST06118,BR014,Current,2024-09-12,66167.11,Dormant,Kathryn Castillo,40.0,Female,65937.43,West Alexville,Port Keith Branch,Mortonside,Kansas,Semi-Urban,2019-09-22
ACC02383,CUST01874,BR005,Current,2025-03-30,52553.71,Closed,Leslie Hernandez,22.0,Female,43981.99,Sandersburgh,Robinsonshire Branch,New David,Nevada,Urban,2017-11-13
ACC10570,CUST08857,BR013,Current,2026-05-05,34401.52,Active,Justin Williams,35.0,Male,67722.2,Cassandraside,Lake Chad Branch,Stevenland,UT,Rural,2021-02-17
ACC00530,CUST09116,BR016,Salary,2026-07-05,85635.15,Active,Denise Reynolds,40.0,Male,45991.8,West Johnton,Ramirezstad Branch,North Sarabury,Connecticut,Semi-Urban,2017-05-03
ACC10373,CUST03796,BR006,Savings,2024-11-07,3650.73,Active,David Armstrong,61.0,Female,58727.52,Rachelborough,Lisatown Branch,Sanchezfort,Florida,Rural,2021-06-08
ACC05438,CUST01302,BR026,Salary,2026-02-03,31603.06,Dormant,Jerry Haney,56.0,Male,33132.53,New Jerome,West Donald Branch,North Susan,Idaho,Urban,2021-01-07
ACC01742,CUST04858,BR021,Savings,2024-06-10,25026.01,Active,Lisa Wagner,45.0,Female,43119.54,West Melissa,Lake Mark Branch,Rodneyside,South Carolina,Urban,2024-02-10
