loan_id,customer_id,branch_id,loan_type,application_date,loan_amount,interest_rate,tenure_months,credit_score,loan_status,default_flag,customer_name,age,gender,annual_income,customer_city,branch_name,branch_city,state,branch_type,opening_date,loan_to_income_ratio,age_group,income_bracket,estimated_emi
LN02838,CUST05443,BR007,Vehicle,2025-01-05,388974.92,7.54,60,321,Approved,0,Nicholas George,51.0,Female,40229.89,West Tracyport,Lake Roberto Branch,Leeville,Arizona,Semi-Urban,2022-08-29,9.67,46-55,Mid,6482.92
LN01428,CUST02745,BR040,Personal,2025-10-15,209594.11,6.05,12,712,Closed,0,Wayne Gray,45.0,Female,36115.36,North Shane,New Mariotown Branch,Lake Lisaport,Missouri,Rural,2021-12-12,5.8,36-45,Mid,17466.18
LN01046,CUST06490,BR037,Vehicle,2025-12-18,60479.41,17.6,12,355,Approved,0,Vanessa Moore,28.0,Male,36261.76,Guzmanmouth,Port Colleenhaven Branch,Davidstad,Hawaii,Rural,2018-10-22,1.67,26-35,Mid,5039.95
LN02468,CUST06342,BR028,Education,2025-01-06,201725.66,14.94,24,677,Active,0,Ashley Friedman,74.0,Female,21816.88,Lake Christopher,Coxberg Branch,South David,AL,Rural,2024-02-08,9.25,56+,Low,8405.24
LN03151,CUST00182,BR024,Vehicle,2025-10-04,419545.12,16.11,36,762,Rejected,0,Angela Vaughn,53.0,Female,45033.8,Angelaport,Jasonfort Branch,Lake Leeton,Kansas,Urban,2023-03-29,9.32,46-55,Mid,11654.03
LN04322,CUST05518,BR011,Personal,2025-06-27,277661.5,6.0,60,774,Closed,0,Justin Murphy,36.0,Male,59522.08,North Paul,Herrerafurt Branch,East Jamesside,Minnesota,Rural,2017-02-26,4.66,36-45,Mid,4627.69
LN04949,CUST07845,BR009,Personal,2024-11-03,448974.8,12.51,36,528,Approved,0,Bryan Castro,42.0,Female,54531.09,Carmenfurt,North Noahstad Branch,Shieldston,MI,Rural,2023-06-27,8.23,36-45,Mid,12471.52
LN01808,CUST04033,BR015,Education,2026-09-08,468187.54,7.03,36,434,Rejected,0,Thomas Morse,42.0,Male,14891.11,,Port Jesseville Branch,North Deniseside,Texas,Urban,2021-03-15,31.44,36-45,Low,13005.21
LN01068,CUST05182,BR040,Personal,2025-08-10,369691.38,14.48,24,887,Approved,0,Nathan Stanley,22.0,Female,30949.2,Amandabury,New Mariotown Branch,Lake Lisaport,Missouri,Rural,2021-12-12,11.95,18-25,Mid,15403.81
LN01922,CUST01072,BR035,Home,2025-04-11,342484.23,8.35,120,784,Closed,0,Catherine Davis,64.0,Female,43375.89,Ryanborough,South Aaron Branch,South Christineshire,Kansas,Rural,2022-04-21,7.9,56+,Mid,2854.04
LN03265,CUST01548,BR043,Vehicle,2026-02-26,473852.98,16.61,36,868,Closed,0,Christopher Campbell,54.0,Male,50221.45,West Richardmouth,North Jessicaland Branch,Lake Matthew,Iowa,Urban,2023-07-14,9.44,46-55,Mid,13162.58
LN00558,CUST06313,BR015,Vehicle,2026-03-10,446254.08,7.29,36,855,Approved,0,Amanda Davis,35.0,Female,43333.33,,Port Jesseville Branch,North Deniseside,Texas,Urban,2021-03-15,10.3,26-35,Mid,12395.95
