customer_id,customer_name,age,gender,annual_income,city
CUST01330,Michael Fitzgerald,39,Female,47869.88,Hutchinsonview
CUST01897,Lauren Haley,41,Male,56379.81,New Julie
CUST06757,Matthew Khan,34,Male,,North Douglasview
CUST01357,Tonya Ellis,48,Male,49510.02,Foxborough
CUST04857,Miranda Huber,49,Male,75302.7,North Jeffery
CUST09661,Bridget Hernandez,73,Female,51300.45,Lake John
CUST05315,Joshua Martinez,37,Male,51843.58,Gordontown
CUST08867,Shannon Turner,65,Female,47437.46,Toddborough
CUST00169,Daniel Murphy,56,Female,70174.01,Mosleyville
CUST09557,Kaitlyn Adams,49,Female,58951.14,New Michelle
CUST09578,Jeffrey Wells,68,Male,34643.61,New Scott
CUST03388,Stephanie Vargas,21,Male,45185.98,Jessicahaven
CUST01114,Dennis Mills,30,Female,29092.08,Henrytown
CUST06668,Michelle King,22,Female,42532.47,Port Bryan
CUST00442,Robert Harrison,39,Male,45885.47,East Kathryn
CUST00157,Jason Stein,72,Female,68415.58,Port Bryanberg
CUST09022,Charles Nguyen,43,Male,58401.69,Lake Andre
CUST06072,Matthew Thompson,21,Male,52070.55,East Kathleenton
CUST08109,Melinda Hanson DDS,73,Female,72383.82,Dianeville
CUST06924,Jeffrey Wallace,73,Female,25702.82,New Tarafurt
CUST08459,Autumn Lee,23,Male,59819.91,Lake Lindsay
CUST09612,Kevin Wagner,61,Female,67187.03,Port Joeland
CUST07468,Julie Daniels,23,Female,62333.04,Brendastad
CUST05705,Katherine Downs,62,Female,25629.15,Benjaminland
CUST07768,Aaron Cochran,30,Female,58920.2,Mejiahaven
CUST02598,John Davidson,36,Female,48012.03,Clarkshire
CUST09912,Amy Kennedy,27,Male,41487.62,North Brandon
CUST09027,Ronald Davila,74,Female,59637.43,South Jessicaland
CUST07764,Matthew Henderson,20,Male,24986.88,Port Mark
CUST08765,Herbert Ferguson,53,Female,27488.58,West Johnbury
CUST06040,Erin White,52,Female,10081.76,Whitemouth
CUST04011,Sherry Porter,24,Male,49058.02,Blacktown
CUST07353,Eric Walker,57,Male,59409.68,Brendafurt
CUST02255,Brian Soto,57,Female,65197.76,Grimeshaven
CUST04192,Heather Becker,41,Male,66468.45,Haneyburgh
CUST00667,Tammy Boone,35,Female,26787.43,Port Stevenhaven
CUST08334,Mark Gomez,42,Male,29261.92,North Michael
CUST01069,Courtney Nichols,52,Male,38516.74,Hurstside
CUST06813,Brian Ware,52,Male,58408.68,West Stephanie
CUST02043,Erica Johnson,47,Female,56601.1,Lewischester
CUST09224,Erica Yang,21,Male,49043.38,Christopherstad
CUST07567,Laurie Porter,58,Male,62039.88,Rogerfurt
CUST07263,Daniel Carter,19,Female,45603.44,West Mollyberg
CUST01478,Lisa Morris,71,Male,20001.04,Harrisborough
CUST06755,Jasmine Hall,25,Male,39485.76,Moranland
CUST06908,Laura Spence,65,Female,22931.54,Allenborough
CUST04662,Victor Taylor,30,Male,34520.34,Lanceburgh
CUST08060,Michael Mckee,48,Female,47108.28,Hallport
CUST05224,Thomas Sparks,69,Female,63810.74,Carlton
CUST06436,Christian Anderson,25,Male,37291.68,West Juanberg
CUST05066,Debra Johnson,18,Female,51185.0,Port Lesliestad
CUST05317,Joseph Patel,21,Female,76738.92,Nicholasfort
CUST05750,Diana Kemp,50,Male,64631.21,Lake Emilyberg
